"","Name","Mean"
"1","Eucalyptus ebbanoensis",29.8352408889188
"2","Eucalyptus dwyeri",29.9483175007287
"3","Eucalyptus oleosa",26.4539591530157
"4","Eucalyptus blakelyi",28.7291240444043
"5","Eucalyptus yalatensis",23.3992507461303
"6","Corymbia calophylla",23.1477497841384
"7","Eucalyptus amplifolia",24.6503367202658
"8","Eucalyptus talyuberlup",19.4107231057239
"9","Corymbia ficifolia",17.6052953575727
"10","Eucalyptus dealbata",29.4352476110585
"11","Eucalyptus cneorifolia",16.6950035519379
"12","Eucalyptus paludicola",19.1095892888322
"13","Eucalyptus cladocalyx",21.4740944971308
"14","Eucalyptus laeliae",24.5563739586744
"15","Eucalyptus eudesmioides",28.2822137739038
"16","Eucalyptus morrisii",30.6088676948052
"17","Eucalyptus burdettiana",21.05
"18","Eucalyptus cornuta",18.860187482769
"19","Eucalyptus lehmannii",20.141573015873
"20","Eucalyptus flindersii",30.0358353010626
"21","Eucalyptus gomphocephala",21.4966671896246
"22","Eucalyptus vicina",30.1740650656814
"23","Eucalyptus squamosa",23.5978628769239
"24","Eucalyptus gittinsii",27.1318324847843
"25","Eucalyptus glaucina",25.8078306272077
"26","Eucalyptus extrica",20.9367308059587
"27","Eucalyptus diversicolor",18.9233120417253
"28","Corymbia haematoxylon",23.3111853316187
"29","Eucalyptus conferruminata",18.2096164444444
"30","Eucalyptus megacornuta",23.1401579338536
"31","Eucalyptus accedens",27.3132233666716
"32","Eucalyptus erythrocorys",25.0172303946078
"33","Eucalyptus roycei",25.7024635780886
"34","Eucalyptus newbeyi",18.7785711428571
"35","Eucalyptus jucunda",28.3500258445258
"36","Eucalyptus pumila",24.5577777777778
"37","Eucalyptus conveniens",27.313327991453
"38","Eucalyptus zopherophloia",25.9457142666667
"39","Eucalyptus nandewarica",29.4963194444444
"40","Eucalyptus pruiniramis",28.6857142857143
